"gene","accession","url","taxon","length","source_clade","query","status","date_downloaded"
"rvt","XP_067951735.1","https://www.ncbi.nlm.nih.gov/protein/XP_067951735.1","Watersipora subatra","2024","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067951907.1","https://www.ncbi.nlm.nih.gov/protein/XP_067951907.1","Watersipora subatra","659","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067951909.1","https://www.ncbi.nlm.nih.gov/protein/XP_067951909.1","Watersipora subatra","1475","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067951967.1","https://www.ncbi.nlm.nih.gov/protein/XP_067951967.1","Watersipora subatra","1260","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067932558.1","https://www.ncbi.nlm.nih.gov/protein/XP_067932558.1","Watersipora subatra","323","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067935114.1","https://www.ncbi.nlm.nih.gov/protein/XP_067935114.1","Watersipora subatra","241","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067943345.1","https://www.ncbi.nlm.nih.gov/protein/XP_067943345.1","Watersipora subatra","1267","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067945573.1","https://www.ncbi.nlm.nih.gov/protein/XP_067945573.1","Watersipora subatra","517","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067950316.1","https://www.ncbi.nlm.nih.gov/protein/XP_067950316.1","Watersipora subatra","1419","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067952075.1","https://www.ncbi.nlm.nih.gov/protein/XP_067952075.1","Watersipora subatra","991","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067928047.1","https://www.ncbi.nlm.nih.gov/protein/XP_067928047.1","Watersipora subatra","1239","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067928394.1","https://www.ncbi.nlm.nih.gov/protein/XP_067928394.1","Watersipora subatra","310","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067931005.1","https://www.ncbi.nlm.nih.gov/protein/XP_067931005.1","Watersipora subatra","885","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067931338.1","https://www.ncbi.nlm.nih.gov/protein/XP_067931338.1","Watersipora subatra","258","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067932284.1","https://www.ncbi.nlm.nih.gov/protein/XP_067932284.1","Watersipora subatra","1949","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067932735.1","https://www.ncbi.nlm.nih.gov/protein/XP_067932735.1","Watersipora subatra","330","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067934182.1","https://www.ncbi.nlm.nih.gov/protein/XP_067934182.1","Watersipora subatra","734","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067934376.1","https://www.ncbi.nlm.nih.gov/protein/XP_067934376.1","Watersipora subatra","1941","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067934405.1","https://www.ncbi.nlm.nih.gov/protein/XP_067934405.1","Watersipora subatra","1918","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067927966.1","https://www.ncbi.nlm.nih.gov/protein/XP_067927966.1","Watersipora subatra","1096","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067928400.1","https://www.ncbi.nlm.nih.gov/protein/XP_067928400.1","Watersipora subatra","1959","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067948721.1","https://www.ncbi.nlm.nih.gov/protein/XP_067948721.1","Watersipora subatra","1899","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067948768.1","https://www.ncbi.nlm.nih.gov/protein/XP_067948768.1","Watersipora subatra","1847","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
